City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
292,Ondo,NG,73.38,overcast clouds,7.1,4.8333,Leisure Spring Hotel
293,Watsa,CD,63.32,light rain,3.0372,29.5355,Hôtel Le Pacifique
294,Chapais,CA,60.58,broken clouds,49.7834,-74.8492,Hôtel Opémiska
295,Viedma,AR,56.46,clear sky,-40.8135,-62.9967,Hotel Cristal
297,Christchurch,NZ,60.33,scattered clouds,-43.5333,172.6333,The George
299,Pangkalanbuun,ID,75.99,light rain,-2.6833,111.6167,Grand Kecubung Hotel
302,Lima,PE,62.13,scattered clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
305,Keti Bandar,PK,79.86,scattered clouds,24.1447,67.4497,Haji laloo memon house
306,Yulara,AU,60.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
308,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
309,Luena,AO,71.22,broken clouds,-11.7833,19.9167,Hotel Kandamba
310,Tawau,MY,75.33,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
314,Sakaiminato,JP,62.58,broken clouds,35.55,133.2333,味処・民宿 まつや
315,Kaliua,TZ,71.89,broken clouds,-5.0606,31.7936,Millennium Complex
316,Bernalillo,US,66.47,clear sky,35.05,-106.6673,DoubleTree by Hilton Hotel Albuquerque
317,Birao,CF,73.72,light rain,10.2849,22.7882,
318,Mersing,MY,76.91,overcast clouds,2.4312,103.8405,Timotel Hotel
319,Zhoucheng,CN,58.01,overcast clouds,35.9122,116.3117,Yingbin Restaurant
321,Sheridan,US,50.02,clear sky,44.8333,-106.9173,Comfort Inn & Suites
325,Rocha,UY,50.05,broken clouds,-34.4833,-54.3333,Beleza Pura B&B
326,Namibe,AO,62.26,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
327,Punta Alta,AR,56.98,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
328,Port Elizabeth,ZA,61.11,clear sky,-33.918,25.5701,39 On Nile Guest House
331,Plouzane,FR,53.65,fog,48.3833,-4.6167,Lymina
332,Oruro,BO,70.29,few clouds,-17.9833,-67.15,Eden by BlueBay
333,Yenotayevka,RU,52.36,broken clouds,47.2456,47.0281,Hotel Voyage
334,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
335,Kon Tum,VN,70.03,moderate rain,14.35,108.0,Hoa đà spa- homestay
336,Huilong,CN,65.93,light rain,31.8111,121.655,Hilton Garden Inn Qidong
337,Naze,JP,77.92,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
338,Swan Hill,AU,58.69,scattered clouds,-35.3378,143.5544,Lazy River Motor Inn
339,San Roque,ES,63.43,broken clouds,36.2107,-5.3842,Hotel Guadacorte Park
342,Farah,AF,55.4,clear sky,32.5,62.5,
343,Plettenberg Bay,ZA,56.3,light rain,-34.0527,23.3716,Thanda Vista B&B
346,Goderich,CA,59.04,overcast clouds,43.7501,-81.7165,Harmony Inn
349,Gboko,NG,76.46,overcast clouds,7.3179,8.9951,Mavillah Apartment and Suites
352,Sierra Vista,US,76.48,clear sky,31.5545,-110.3037,Sierra Vista Extended Stay Hotel
353,Tiptur,IN,70.02,overcast clouds,13.2586,76.4783,SPOT ON 66015 Balaji Lodge And Restaurant
355,Lyngdal,NO,51.01,overcast clouds,58.1376,7.07,Paulsens Hotel & Cafe
359,Bismarck,US,55.24,clear sky,46.8083,-100.7837,Ramkota Hotel & Conference Center
360,Matara,LK,79.21,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
361,Montclair,US,76.62,clear sky,40.8259,-74.209,Residence Inn by Marriott West Orange
362,Dharchula,IN,63.79,clear sky,29.85,80.5333,Mahara Hotel
363,Cidreira,BR,65.95,light rain,-30.1811,-50.2056,Hotel Castelo
366,Mogadishu,SO,78.01,clear sky,2.0371,45.3438,Hotel Juba
367,La Ronge,CA,52.05,few clouds,55.1001,-105.2842,Northland Motor Hotel
368,Antofagasta,CL,58.28,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
370,Cumana,VE,75.29,broken clouds,10.4635,-64.1775,Posada Acuarela Los Roques
371,Monrovia,LR,78.57,broken clouds,6.3005,-10.7969,Sunset Inn
374,Mount Isa,AU,69.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
375,Taunggyi,MM,59.99,broken clouds,20.7833,97.0333,True Treasure Hotel
376,Ikwiriri,TZ,69.93,clear sky,-7.9562,38.9716,Greenland lodge
378,Dali,CN,58.59,light rain,25.7,100.1833,Dali Travelling With Hostel
379,Blagodatnoye,RU,50.92,broken clouds,45.3997,42.5867,
380,Wencheng,CN,55.09,light rain,33.0559,113.7978,Ruyi Hostel
383,Shimoda,JP,69.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
386,Santa Isabel,BR,71.65,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
387,Rio Gallegos,AR,57.25,light rain,-51.6226,-69.2181,Hotel Santa Cruz
388,Buala,SB,79.9,light rain,-8.145,159.5921,Maringe Lagoon Lodge
390,Dauphin,CA,53.74,clear sky,51.1494,-100.0502,Canway Inn & Suites
392,Huarmey,PE,65.19,scattered clouds,-10.0681,-78.1522,Hotel Miramar
397,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
398,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
399,Jiangkou,CN,76.89,few clouds,25.4872,119.1986,DFM Hotel
403,Taltal,CL,58.6,scattered clouds,-25.4,-70.4833,Residencial Karime
404,Khash,IR,57.07,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
408,Ozark,US,59.85,broken clouds,37.0209,-93.206,Americas Best Value Inn Ozark Springfield
410,Kaele,CM,77.59,broken clouds,10.1092,14.4508,Hôtel Les Palmiers
411,Sampit,ID,75.67,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
413,Nis,FR,60.4,clear sky,43.7031,7.2661,Le Windsor Jungle Art Hotel
414,Marzuq,YE,73.98,overcast clouds,14.4,46.4667,
415,Talcahuano,CL,55.08,clear sky,-36.7167,-73.1167,departamento comodo
418,Hami,CN,50.05,few clouds,42.8,93.45,Laoyutang Resort
419,Rantepao,ID,70.12,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
420,Bata,GQ,77.58,scattered clouds,1.8639,9.7658,Hotel Elik Melen
422,Sao Joao Da Barra,BR,74.84,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
423,Brigantine,US,75.49,clear sky,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
425,Newberg,US,67.82,clear sky,45.3001,-122.9732,The Allison Inn & Spa
431,Torquay,GB,55.36,overcast clouds,50.4638,-3.5143,The Grand Hotel
432,Anito,PH,77.88,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
433,Hamilton,US,73.24,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
434,Neka,IR,65.71,broken clouds,36.6508,53.299,اپارتمان قومش
436,Asosa,ET,60.22,scattered clouds,10.0667,34.5333,Blendana Hotel Assosa
438,Sorgun,TR,54.28,clear sky,39.8101,35.186,SORGUN BIG THERMAL TURIZM HOTEL COMPANY A.Ş.
440,Alugan,PH,77.67,overcast clouds,12.2188,125.4808,JM Lodge
442,Grand Gaube,MU,70.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
444,Rawson,AR,63.86,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
445,Comodoro Rivadavia,AR,62.46,clear sky,-45.8667,-67.5,Austral Hotel
448,Hargeysa,SO,70.32,scattered clouds,9.56,44.065,City Center Hotel
450,Tazmalt,DZ,63.12,overcast clouds,36.3868,4.3989,Hôtel Numédia
451,Komsomolskiy,UZ,51.22,few clouds,40.4272,71.7189,Ikathouse
452,Shaoguan,CN,62.82,overcast clouds,24.8,113.5833,Shangcheng Hotel
454,Cascais,PT,68.05,broken clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
456,Antalaha,MG,68.38,light rain,-14.9003,50.2788,Hotel Vitasoa
457,Havre-Saint-Pierre,CA,50.59,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
