,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Port Lincoln,AU,-34.7333,135.8667,56.66,64,100,5.55,overcast clouds
120,Bereda,ES,43.2686,-7.5406,55.42,100,80,0.58,broken clouds
121,Bredasdorp,ZA,-34.5322,20.0403,53.28,71,99,13.53,light rain
122,Yar-Sale,RU,66.8333,70.8333,37.13,90,100,8.41,overcast clouds
123,Iralaya,HN,15.0,-83.2333,82.24,76,9,7.54,clear sky
124,Puerto Ayora,EC,-0.7393,-90.3518,76.96,82,95,10.47,overcast clouds
125,Picos,BR,-7.0769,-41.4669,89.29,32,84,4.21,broken clouds
126,Intipuca,SV,13.1969,-88.0544,80.33,80,18,3.94,few clouds
127,Iqaluit,CA,63.7506,-68.5145,28.13,79,1,4.0,clear sky
128,Ushtobe,KZ,45.2514,77.9838,43.77,49,0,3.09,clear sky
129,Porto Novo,BJ,6.4965,2.6036,82.22,88,66,5.44,broken clouds
130,Kungurtug,RU,50.5994,97.5228,16.07,79,6,2.62,clear sky
131,Bethel,US,41.3712,-73.414,72.43,81,18,4.83,few clouds
132,Menongue,AO,-14.6585,17.691,65.93,33,41,0.58,scattered clouds
133,Gizo,SB,-8.103,156.8419,77.9,88,100,10.71,moderate rain
134,Shelburne,CA,44.0787,-80.2041,61.23,79,88,3.98,light rain
135,Maldonado,UY,-34.6667,-54.9167,52.99,57,41,8.59,scattered clouds
136,Oranjemund,NA,-28.55,16.4333,55.51,80,62,2.84,broken clouds
137,Ayorou,NE,14.7308,0.9174,90.9,14,2,6.22,clear sky
138,Ararat,AM,39.8317,44.7049,50.34,42,10,2.98,clear sky
139,Broome,US,42.2506,-75.833,72.18,95,99,3.69,overcast clouds
140,Akyab,MM,20.15,92.9,79.03,87,100,5.12,overcast clouds
141,Laguna,US,38.421,-121.4238,84.92,22,1,1.99,clear sky
142,Urumqi,CN,43.801,87.6005,38.35,60,0,4.47,clear sky
143,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.45,83,60,11.27,broken clouds
144,Victoria,HK,22.2855,114.1577,80.33,86,85,3.0,overcast clouds
145,Santarem,BR,-2.4431,-54.7083,86.13,74,0,9.22,clear sky
146,Esperance,AU,-33.8667,121.9,55.24,62,100,9.35,light rain
147,College,US,64.8569,-147.8028,30.29,77,75,4.61,broken clouds
148,Qaanaaq,GL,77.484,-69.3632,21.38,90,100,7.96,overcast clouds
149,Palmer,US,42.1584,-72.3287,71.53,76,20,4.61,few clouds
150,Kapuskasing,CA,49.4169,-82.4331,57.29,71,90,10.36,overcast clouds
151,Calama,CL,-22.4667,-68.9333,66.69,9,0,21.85,clear sky
152,Dunedin,NZ,-45.8742,170.5036,54.57,65,93,8.16,overcast clouds
153,Soyo,AO,-6.1349,12.3689,75.74,81,24,6.76,few clouds
154,Luanda,AO,-8.8368,13.2343,75.2,83,20,6.91,few clouds
155,Portland,US,45.5234,-122.6762,68.32,64,40,1.01,scattered clouds
156,Chuy,UY,-33.6971,-53.4616,53.33,60,100,16.28,overcast clouds
157,Lorengau,PG,-2.0226,147.2712,85.87,69,32,10.85,scattered clouds
158,Omama,JP,36.4333,139.2833,68.83,94,100,4.07,overcast clouds
159,Geraldton,AU,-28.7667,114.6,65.12,88,90,9.22,overcast clouds
160,Rudnogorsk,RU,57.2639,103.7519,24.58,94,100,10.0,snow
161,Ponta Do Sol,PT,32.6667,-17.1,70.72,72,15,2.35,few clouds
162,Coahuayana,MX,18.7333,-103.6833,89.08,73,39,5.48,scattered clouds
163,Kranea Elassonos,GR,39.9483,21.9658,46.31,92,100,3.71,overcast clouds
164,Constitucion,CL,-35.3333,-72.4167,51.37,75,4,16.51,clear sky
165,Batsfjord,NO,70.6345,29.7185,37.62,85,100,9.28,overcast clouds
166,Chunskiy,RU,56.0815,99.6342,27.72,50,100,4.21,overcast clouds
167,Alice Springs,AU,-23.7,133.8833,60.35,33,0,1.14,clear sky
168,Belmonte,BR,-15.8631,-38.8828,77.5,88,36,8.37,scattered clouds
169,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,83,0,13.8,clear sky
170,Carballo,ES,43.213,-8.691,58.91,89,97,1.57,overcast clouds
171,Chara,RU,56.9064,118.2631,10.65,57,2,3.56,clear sky
172,Lahat,ID,-3.8,103.5333,72.19,92,98,2.66,overcast clouds
173,Bilibino,RU,68.0546,166.4372,-1.77,97,77,1.9,broken clouds
174,Constantine,DZ,36.365,6.6147,51.21,76,0,5.75,clear sky
175,Khatanga,RU,71.9667,102.5,14.81,96,100,3.67,light snow
176,Bambous Virieux,MU,-20.3428,57.7575,70.21,94,75,4.61,light rain
177,Zyuzelskiy,RU,56.4856,60.1331,48.04,53,100,8.23,overcast clouds
178,Saint Paul,US,44.9444,-93.0933,51.8,67,90,13.8,overcast clouds
179,Mayya,RU,61.7333,130.2811,15.12,93,100,5.66,overcast clouds
180,Necochea,AR,-38.5473,-58.7368,51.04,69,8,5.35,clear sky
181,Mazagao,BR,-0.115,-51.2894,87.85,70,87,5.84,overcast clouds
182,Saskylakh,RU,71.9167,114.0833,7.32,98,99,5.95,overcast clouds
183,Bima,ID,-8.4667,118.7167,80.98,80,86,4.56,overcast clouds
184,Terrace,CA,54.5163,-128.6035,44.51,87,75,0.0,broken clouds
185,Meulaboh,ID,4.1363,96.1285,77.38,83,99,3.62,overcast clouds
186,Kimbe,PG,-5.5502,150.1429,87.22,64,87,0.43,overcast clouds
187,Cabedelo,BR,-6.9811,-34.8339,79.47,77,45,15.73,scattered clouds
188,Puri,IN,19.8,85.85,81.12,83,99,7.38,overcast clouds
189,Trelleborg,SE,55.3751,13.1569,48.97,68,27,23.29,scattered clouds
190,Cochrane,CA,51.1834,-114.4687,59.43,31,1,28.77,clear sky
191,Egvekinot,RU,66.3167,-179.1667,16.99,81,89,5.53,overcast clouds
192,Katobu,ID,-4.9408,122.5276,80.22,80,90,3.0,overcast clouds
193,Pevek,RU,69.7008,170.3133,12.15,94,90,3.89,overcast clouds
194,Manadhoo,MV,5.7667,73.3833,82.17,80,86,27.38,overcast clouds
195,Jiaozuo,CN,35.2397,113.2331,55.08,46,100,8.41,light rain
196,Amazar,RU,53.858,120.875,18.43,45,74,5.28,broken clouds
197,Fort Frances,CA,48.5999,-93.4003,44.82,59,90,8.05,overcast clouds
198,Baripada,IN,21.935,86.7214,77.68,91,100,2.66,overcast clouds
199,Port Hardy,CA,50.6996,-127.4199,53.78,82,75,13.8,broken clouds
200,Bonavista,CA,48.6499,-53.1147,48.11,96,100,21.54,overcast clouds
201,Sitka,US,57.0531,-135.33,48.09,66,75,6.91,light rain
202,Kaniama,CD,-7.5667,24.1833,67.8,88,99,3.58,overcast clouds
203,Saint Anthony,US,45.0205,-93.218,51.15,69,90,3.0,overcast clouds
204,Dingle,PH,10.9995,122.6711,77.67,88,90,1.81,overcast clouds
205,Jilib,SO,0.4883,42.7854,74.79,87,100,6.33,overcast clouds
206,Saint-Georges,GD,12.0564,-61.7485,83.88,84,20,16.11,few clouds
207,Provideniya,RU,64.3833,-173.3,26.56,74,4,6.02,clear sky
208,Haguenau,FR,48.8156,7.7905,52.11,38,31,3.51,scattered clouds
209,Catamarca,AR,-28.4696,-65.7852,65.77,31,23,5.99,few clouds
210,San Cristobal,VE,7.7669,-72.225,77.18,88,53,2.8,broken clouds
211,Kamenka,RU,51.3223,42.7678,40.89,64,4,3.91,clear sky
212,Nabire,ID,-3.3667,135.4833,81.09,77,31,1.7,scattered clouds
213,Rundu,NA,-17.9333,19.7667,72.81,14,0,5.7,clear sky
214,Araouane,ML,18.9048,-3.5265,88.81,9,99,5.99,overcast clouds
215,Omboue,GA,-1.5746,9.2618,76.8,88,100,6.89,overcast clouds
216,Hovd,MN,48.0056,91.6419,28.85,64,3,1.59,clear sky
217,Kanker,IN,20.2719,81.4931,71.96,98,99,2.89,overcast clouds
218,Mahon,ES,39.8885,4.2658,64.96,72,20,4.61,few clouds
219,Ostrovnoy,RU,68.0531,39.5131,39.94,82,100,17.49,overcast clouds
220,Tura,IN,25.5198,90.2201,76.55,77,99,2.95,overcast clouds
221,Nikolskoye,RU,59.7035,30.7861,49.01,77,100,12.53,light rain
222,Kabalo,CD,-6.05,26.9167,69.78,97,100,2.53,light rain
223,Cartagena,CO,10.3997,-75.5144,87.42,70,75,9.22,broken clouds
224,Adrar,MR,20.5022,-10.0711,86.13,14,79,10.71,broken clouds
225,Nizwa,OM,22.9333,57.5333,77.68,17,0,4.25,clear sky
226,Hofn,IS,64.2539,-15.2082,39.74,87,49,10.16,scattered clouds
227,Chingirlau,KZ,51.095,54.0814,50.04,85,100,6.53,light rain
228,Nahavand,IR,34.1885,48.377,60.66,32,36,2.55,scattered clouds
229,Wanning,CN,18.8003,110.3967,76.26,95,99,20.76,light rain
230,San Patricio,US,28.017,-97.5169,88.52,63,48,11.52,scattered clouds
231,Vangaindrano,MG,-23.35,47.6,70.12,94,27,6.8,scattered clouds
232,Den Helder,NL,52.9599,4.7593,53.58,75,20,5.01,few clouds
233,Saint George,US,37.1041,-113.5841,72.07,19,1,3.0,clear sky
234,Jiuquan,CN,39.7432,98.5174,36.63,31,0,5.19,clear sky
235,Saldanha,ZA,-33.0117,17.9442,53.65,60,25,17.34,scattered clouds
236,Qaqortoq,GL,60.7167,-46.0333,32.5,48,49,6.96,scattered clouds
237,Longyearbyen,SJ,78.2186,15.6401,26.44,59,75,11.5,broken clouds
238,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,81.91,70,90,3.06,overcast clouds
239,Chokurdakh,RU,70.6333,147.9167,1.83,99,98,1.3,overcast clouds
240,Hasaki,JP,35.7333,140.8333,66.6,69,33,9.73,scattered clouds
241,Marawi,PH,7.9986,124.2928,65.64,83,87,1.12,overcast clouds
242,Souillac,MU,-20.5167,57.5167,70.36,94,75,4.61,broken clouds
243,Inhambane,MZ,-23.865,35.3833,75.94,83,64,12.68,broken clouds
244,Lompoc,US,34.6391,-120.4579,88.79,14,1,10.36,smoke
245,Saint-Louis,SN,16.3333,-15.0,85.64,32,78,9.06,broken clouds
246,Karratha,AU,-20.7377,116.8463,73.65,64,6,15.66,clear sky
247,Jaciara,BR,-15.9653,-54.9683,87.69,40,66,6.22,light rain
248,Lakes Entrance,AU,-37.8811,147.981,56.57,87,100,23.22,light rain
249,Walvis Bay,NA,-22.9575,14.5053,57.09,67,3,6.91,clear sky
250,Ekhabi,RU,53.5102,142.9671,34.93,59,80,8.23,broken clouds
251,Mutare,ZW,-18.9707,32.6709,61.41,79,1,3.33,clear sky
252,Sioux Lookout,CA,50.1001,-91.917,44.67,81,90,9.22,overcast clouds
253,Chihuahua,MX,28.5,-106.0,76.03,22,0,7.31,clear sky
254,Ajka,HU,47.102,17.5589,43.52,63,69,2.24,broken clouds
255,Jalu,LY,29.0331,21.5482,66.36,48,0,6.87,clear sky
256,Port Blair,IN,11.6667,92.75,80.17,84,85,15.93,light rain
257,Vostok,RU,46.4856,135.8833,28.89,88,100,6.6,snow
258,Kruisfontein,ZA,-34.0033,24.7314,58.89,73,97,14.56,overcast clouds
259,Paramonga,PE,-10.6667,-77.8333,63.9,85,42,8.5,scattered clouds
260,Port Hedland,AU,-20.3167,118.5667,69.85,60,5,6.91,clear sky
261,Correggio,IT,44.7698,10.7823,50.95,52,83,2.62,broken clouds
262,Ewa Beach,US,21.3156,-158.0072,85.95,55,20,11.5,few clouds
263,Kenai,US,60.5544,-151.2583,38.03,85,90,8.05,overcast clouds
264,Chibombo,ZM,-14.6569,28.0706,71.51,37,50,4.65,scattered clouds
265,Norman Wells,CA,65.282,-126.8329,28.44,74,75,11.5,broken clouds
266,Alofi,NU,-19.0595,-169.9187,82.29,65,11,9.22,few clouds
267,Ostuncalco,GT,14.8667,-91.6167,68.94,81,40,9.22,scattered clouds
268,Arlit,NE,18.7369,7.3853,85.84,11,40,11.34,scattered clouds
269,Kharan,PK,28.5833,65.4167,64.6,11,0,2.62,clear sky
270,Tanda,IN,26.55,82.65,76.3,62,5,1.39,clear sky
271,Sawtell,AU,-30.3833,153.1,66.52,56,0,5.75,clear sky
272,Soe,ID,-9.8607,124.284,76.84,59,89,2.46,overcast clouds
273,Grand Island,US,40.925,-98.342,57.49,33,20,7.0,few clouds
274,Karatuzskoye,RU,53.6072,92.8667,28.58,63,8,2.84,clear sky
275,Dawei,MM,14.0833,98.2,74.71,94,100,5.08,overcast clouds
276,Madison,US,34.7334,-86.5667,81.54,80,40,1.01,scattered clouds
277,Bontang,ID,0.1333,117.5,78.66,88,67,2.82,broken clouds
278,Guerrero Negro,MX,27.9769,-114.0611,81.59,29,2,12.48,clear sky
279,Sechura,PE,-5.5569,-80.8222,70.65,69,94,18.84,overcast clouds
280,Wasilla,US,61.5814,-149.4394,37.06,87,90,3.44,moderate rain
281,Mount Gambier,AU,-37.8333,140.7667,51.71,71,90,12.66,overcast clouds
282,Trollhattan,SE,58.2333,12.4167,48.47,61,48,4.61,scattered clouds
283,Te Anau,NZ,-45.4167,167.7167,54.43,59,80,4.76,broken clouds
284,Ukiah,US,39.1502,-123.2078,85.96,17,1,0.0,clear sky
285,Puerto Escondido,MX,15.85,-97.0667,88.63,55,1,5.75,clear sky
286,Otradnoye,RU,59.7775,30.8181,50.04,76,100,12.93,light rain
287,San Carlos,VE,9.6612,-68.5827,82.51,72,74,1.81,broken clouds
288,Severnoye,RU,56.3491,78.3619,37.9,87,0,2.44,clear sky
289,Harper,LR,4.375,-7.7169,78.62,88,95,9.6,overcast clouds
290,Westport,US,41.1415,-73.3579,74.28,86,1,5.01,clear sky
291,Magnitka,RU,55.3475,59.6961,43.43,61,100,5.08,overcast clouds
292,Ondo,NG,7.1,4.8333,73.38,97,86,2.8,overcast clouds
293,Watsa,CD,3.0372,29.5355,63.32,98,86,2.75,light rain
294,Chapais,CA,49.7834,-74.8492,60.58,82,82,5.19,broken clouds
295,Viedma,AR,-40.8135,-62.9967,56.46,22,0,8.25,clear sky
296,Cherskiy,RU,68.75,161.3,0.72,99,94,2.42,overcast clouds
297,Christchurch,NZ,-43.5333,172.6333,60.33,67,40,1.99,scattered clouds
298,Quelimane,MZ,-17.8786,36.8883,80.55,74,20,12.66,few clouds
299,Pangkalanbuun,ID,-2.6833,111.6167,75.99,88,97,1.12,light rain
300,Isangel,VU,-19.55,169.2667,80.71,78,75,0.0,broken clouds
301,Kavieng,PG,-2.5744,150.7967,85.32,70,59,11.83,broken clouds
302,Lima,PE,-12.0432,-77.0282,62.13,77,40,14.97,scattered clouds
303,Tashara,RU,55.5195,83.5094,31.23,88,0,4.61,clear sky
304,Yumen,CN,40.2833,97.2,36.7,29,0,12.12,clear sky
305,Keti Bandar,PK,24.1447,67.4497,79.86,57,29,10.71,scattered clouds
306,Yulara,AU,-25.2406,130.9889,60.64,36,0,10.36,clear sky
307,Tiarei,PF,-17.5333,-149.3333,86.02,78,12,18.57,few clouds
308,Salalah,OM,17.0151,54.0924,77.09,53,0,3.44,clear sky
309,Luena,AO,-11.7833,19.9167,71.22,49,57,7.23,broken clouds
310,Tawau,MY,4.2498,117.8871,75.33,94,77,3.22,broken clouds
311,Bathsheba,BB,13.2167,-59.5167,83.01,78,20,5.75,few clouds
312,Kasangulu,CD,-4.5911,15.1708,81.48,67,88,4.76,overcast clouds
313,Lampazos De Naranjo,MX,27.0167,-100.5167,85.68,54,66,7.07,broken clouds
314,Sakaiminato,JP,35.55,133.2333,62.58,94,75,3.44,broken clouds
315,Kaliua,TZ,-5.0606,31.7936,71.89,52,58,2.33,broken clouds
316,Bernalillo,US,35.05,-106.6673,66.47,18,1,11.5,clear sky
317,Birao,CF,10.2849,22.7882,73.72,89,91,3.85,light rain
318,Mersing,MY,2.4312,103.8405,76.91,94,90,5.75,overcast clouds
319,Zhoucheng,CN,35.9122,116.3117,58.01,52,100,20.04,overcast clouds
320,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,74,20,19.57,few clouds
321,Sheridan,US,44.8333,-106.9173,50.02,44,1,3.0,clear sky
322,Shache,CN,38.4167,77.2406,48.33,23,0,5.41,clear sky
323,Killybegs,IE,54.6333,-8.45,49.44,74,84,4.59,broken clouds
324,Belem De Sao Francisco,BR,-8.7539,-38.9658,85.6,37,34,27.29,scattered clouds
325,Rocha,UY,-34.4833,-54.3333,50.05,52,61,11.12,broken clouds
326,Namibe,AO,-15.1961,12.1522,62.26,88,40,3.09,scattered clouds
327,Punta Alta,AR,-38.8759,-62.0736,56.98,33,0,6.4,clear sky
328,Port Elizabeth,ZA,-33.918,25.5701,61.11,72,0,20.71,clear sky
329,Tautira,PF,-17.7333,-149.15,86.02,77,36,17.11,scattered clouds
330,Arman,RU,59.7,150.1667,21.18,47,4,14.34,clear sky
331,Plouzane,FR,48.3833,-4.6167,53.65,97,90,5.75,fog
332,Oruro,BO,-17.9833,-67.15,70.29,23,20,10.36,few clouds
333,Yenotayevka,RU,47.2456,47.0281,52.36,57,63,7.61,broken clouds
334,Padang,ID,-0.9492,100.3543,75.25,81,95,3.6,overcast clouds
335,Kon Tum,VN,14.35,108.0,70.03,99,100,1.63,moderate rain
336,Huilong,CN,31.8111,121.655,65.93,82,100,27.07,light rain
337,Naze,JP,28.3667,129.4833,77.92,77,29,5.97,scattered clouds
338,Swan Hill,AU,-35.3378,143.5544,58.69,50,26,17.83,scattered clouds
339,San Roque,ES,36.2107,-5.3842,63.43,88,66,5.75,broken clouds
340,Iracoubo,GF,5.4802,-53.2011,80.78,81,69,11.01,broken clouds
341,Bonanza,NI,14.0289,-84.591,81.01,69,47,0.98,scattered clouds
342,Farah,AF,32.5,62.5,55.4,16,0,3.76,clear sky
343,Plettenberg Bay,ZA,-34.0527,23.3716,56.3,80,100,16.04,light rain
344,Klaksvik,FO,62.2266,-6.589,43.72,69,99,10.67,overcast clouds
345,Taoudenni,ML,22.6783,-3.9836,89.15,13,17,10.58,few clouds
346,Goderich,CA,43.7501,-81.7165,59.04,88,100,9.22,overcast clouds
347,Pervomaysk,UA,48.0443,30.8507,49.98,60,51,5.53,broken clouds
348,Faanui,PF,-16.4833,-151.75,80.74,71,4,17.98,clear sky
349,Gboko,NG,7.3179,8.9951,76.46,84,99,9.28,overcast clouds
